gene_id,gene_name
ENSG00000248515.2,AC024230.1
ENSG00000272995.1,AC097505.1
ENSG00000250243.3,AC110296.1
ENSG00000250092.2,AC096576.3
ENSG00000248343.1,AC096576.2
ENSG00000250039.4,AC096719.1
ENSG00000248837.7,AC097512.1
ENSG00000249547.1,AC092440.1
ENSG00000250137.1,AC093607.1
ENSG00000249453.1,AC092834.1
ENSG00000250541.1,AC092436.2
ENSG00000251410.2,AC007106.1
ENSG00000250064.1,AC097480.1
ENSG00000248176.2,AC109349.1
ENSG00000249678.1,AC097716.1
ENSG00000250954.6,AC016687.3
ENSG00000250723.7,AC016687.2
ENSG00000247193.3,AC104078.1
ENSG00000251438.1,AC104078.2
ENSG00000271958.1,AC021860.1
ENSG00000249207.2,AC079921.1
ENSG00000255458.7,AC108471.2
ENSG00000250906.1,AC131953.1
ENSG00000249216.1,AC105389.2
ENSG00000272862.1,AC106052.1
ENSG00000285454.1,AC111006.1
ENSG00000250781.2,AC024022.1
ENSG00000248939.1,AC111198.1
ENSG00000272936.1,AC096586.1
ENSG00000249330.3,AC095060.1
ENSG00000282917.2,AC107068.2
ENSG00000259959.1,AC107068.1
ENSG00000272576.1,AC027271.1
ENSG00000248375.1,AC104066.2
ENSG00000248115.1,AC023154.1
ENSG00000282278.1,AC058822.1
ENSG00000272650.1,AC110792.3
ENSG00000250646.1,AC111194.2
ENSG00000273257.2,AC069200.1
ENSG00000272969.1,AC024243.1
ENSG00000269921.1,AC068620.1
ENSG00000270147.1,AC068620.2
ENSG00000250333.2,AC093725.2
ENSG00000251339.6,AC017091.1
ENSG00000249392.1,AC096588.1
ENSG00000205682.2,AC020741.1
ENSG00000250075.7,AC104806.2
ENSG00000272986.1,AC009570.1
ENSG00000250877.1,AC095056.1
ENSG00000221639.1,AC053527.1
ENSG00000249942.1,AC239584.1
ENSG00000248165.1,AC110760.1
ENSG00000251185.1,AC025244.1
ENSG00000248646.1,AC096759.1
ENSG00000250735.5,AC096759.2
ENSG00000224218.1,AC107072.1
ENSG00000249036.1,AC092674.1
ENSG00000260278.1,AC098818.2
ENSG00000248719.2,AC021127.1
ENSG00000273156.2,AC124016.1
ENSG00000250057.1,AC114781.2
