gene_name,amyloid,gpath,tangles,cogdx,n_traits_DE
MRPS30,TRUE,TRUE,TRUE,TRUE,4
PLPP1,TRUE,TRUE,TRUE,TRUE,4
CWC27,TRUE,TRUE,TRUE,TRUE,4
CDK7,TRUE,TRUE,TRUE,TRUE,4
TNPO1,TRUE,TRUE,TRUE,TRUE,4
BTF3,TRUE,TRUE,TRUE,TRUE,4
SSBP2,TRUE,TRUE,TRUE,TRUE,4
LINC00461,TRUE,TRUE,TRUE,TRUE,4
NR2F1-AS1,TRUE,TRUE,TRUE,TRUE,4
NR2F1,TRUE,TRUE,TRUE,TRUE,4
FAM172A,TRUE,TRUE,TRUE,TRUE,4
SLF1,TRUE,TRUE,TRUE,TRUE,4
PJA2,TRUE,TRUE,TRUE,TRUE,4
REEP5,TRUE,TRUE,TRUE,TRUE,4
MCC,TRUE,TRUE,TRUE,TRUE,4
CDO1,TRUE,TRUE,TRUE,TRUE,4
HINT1,TRUE,TRUE,TRUE,TRUE,4
LYRM7,TRUE,TRUE,TRUE,TRUE,4
VDAC1,TRUE,TRUE,TRUE,TRUE,4
SKP1,TRUE,TRUE,TRUE,TRUE,4
CAMLG,TRUE,TRUE,TRUE,TRUE,4
UBE2D2,TRUE,TRUE,TRUE,TRUE,4
PSD2,TRUE,TRUE,TRUE,TRUE,4
PURA,TRUE,TRUE,TRUE,TRUE,4
NDUFA2,TRUE,TRUE,TRUE,TRUE,4
PCDHB10,TRUE,TRUE,TRUE,TRUE,4
ARHGAP26,TRUE,TRUE,TRUE,TRUE,4
JAKMIP2,TRUE,TRUE,TRUE,TRUE,4
SLC6A7,TRUE,TRUE,TRUE,TRUE,4
CAMK2A,TRUE,TRUE,TRUE,TRUE,4
ANXA6,TRUE,TRUE,TRUE,TRUE,4
GRIA1,TRUE,TRUE,TRUE,TRUE,4
LARP1,TRUE,TRUE,TRUE,TRUE,4
PANK3,TRUE,TRUE,FALSE,FALSE,2
NPM1,TRUE,TRUE,TRUE,TRUE,4
ERGIC1,TRUE,TRUE,TRUE,TRUE,4
NOP16,TRUE,TRUE,TRUE,TRUE,4
NHP2,TRUE,TRUE,TRUE,TRUE,4
RACK1,TRUE,TRUE,TRUE,TRUE,4
TUBB2A,TRUE,TRUE,TRUE,TRUE,4
TUBB2B,TRUE,TRUE,TRUE,TRUE,4
ELOVL2,TRUE,TRUE,TRUE,TRUE,4
CAP2,TRUE,TRUE,TRUE,TRUE,4
CASC15,TRUE,TRUE,TRUE,TRUE,4
ACOT13,TRUE,TRUE,TRUE,TRUE,4
TRIM27,TRUE,TRUE,TRUE,TRUE,4
GABBR1,TRUE,TRUE,TRUE,TRUE,4
MDC1,TRUE,TRUE,TRUE,TRUE,4
TUBB,TRUE,TRUE,TRUE,TRUE,4
FLOT1,TRUE,TRUE,TRUE,TRUE,4
HSD17B8,TRUE,TRUE,TRUE,FALSE,3
CUTA,TRUE,TRUE,TRUE,TRUE,4
SMIM29,TRUE,TRUE,TRUE,TRUE,4
TBCC,TRUE,TRUE,TRUE,TRUE,4
C6orf226,TRUE,TRUE,TRUE,TRUE,4
KLHDC3,TRUE,TRUE,TRUE,TRUE,4
HSP90AB1,TRUE,TRUE,TRUE,TRUE,4
SUPT3H,TRUE,TRUE,TRUE,TRUE,4
RCAN2,TRUE,TRUE,TRUE,TRUE,4
SLC25A27,TRUE,TRUE,TRUE,FALSE,3
OGFRL1,TRUE,TRUE,TRUE,TRUE,4
RIMS1,TRUE,TRUE,TRUE,TRUE,4
EEF1A1,TRUE,TRUE,TRUE,TRUE,4
LYRM2,TRUE,TRUE,TRUE,TRUE,4
MAP3K7,TRUE,TRUE,TRUE,TRUE,4
PNISR,TRUE,TRUE,TRUE,TRUE,4
ASCC3,TRUE,TRUE,TRUE,TRUE,4
PREP,TRUE,TRUE,TRUE,FALSE,3
RTN4IP1,TRUE,TRUE,TRUE,TRUE,4
SEC63,TRUE,TRUE,TRUE,TRUE,4
PPIL6,TRUE,TRUE,TRUE,FALSE,3
TRAF3IP2,TRUE,TRUE,TRUE,TRUE,4
NT5DC1,TRUE,TRUE,TRUE,TRUE,4
GJA1,TRUE,TRUE,TRUE,TRUE,4
NKAIN2,TRUE,TRUE,TRUE,TRUE,4
HDDC2,TRUE,TRUE,TRUE,TRUE,4
SLC18B1,TRUE,TRUE,TRUE,TRUE,4
SYNE1,TRUE,TRUE,TRUE,TRUE,4
AGPAT4,TRUE,TRUE,TRUE,TRUE,4
CAHM,TRUE,TRUE,TRUE,TRUE,4
C7orf50,TRUE,TRUE,TRUE,TRUE,4
GNA12,TRUE,TRUE,TRUE,TRUE,4
RNF216,TRUE,TRUE,TRUE,TRUE,4
PMS2,TRUE,TRUE,TRUE,TRUE,4
NDUFA4,TRUE,TRUE,TRUE,TRUE,4
TMEM106B,TRUE,TRUE,TRUE,TRUE,4
SNX13,TRUE,TRUE,TRUE,FALSE,3
HDAC9,TRUE,TRUE,TRUE,TRUE,4
ITGB8,TRUE,TRUE,TRUE,TRUE,4
HNRNPA2B1,TRUE,TRUE,TRUE,TRUE,4
LINC00997,TRUE,TRUE,TRUE,TRUE,4
CDK13,TRUE,TRUE,TRUE,TRUE,4
MRPL32,TRUE,TRUE,TRUE,FALSE,3
PPIA,TRUE,TRUE,TRUE,TRUE,4
SNHG15,TRUE,TRUE,TRUE,TRUE,4
TBRG4,TRUE,TRUE,TRUE,FALSE,3
SUMF2,TRUE,TRUE,TRUE,TRUE,4
RFC2,TRUE,TRUE,TRUE,TRUE,4
HIP1,TRUE,TRUE,TRUE,TRUE,4
YWHAG,TRUE,TRUE,TRUE,TRUE,4
SRI,TRUE,TRUE,TRUE,TRUE,4
PON2,TRUE,TRUE,TRUE,TRUE,4
SEM1,TRUE,TRUE,TRUE,TRUE,4
COPS6,TRUE,TRUE,TRUE,TRUE,4
LAMTOR4,TRUE,TRUE,TRUE,TRUE,4
AGFG2,TRUE,TRUE,TRUE,TRUE,4
PMPCB,TRUE,TRUE,TRUE,TRUE,4
PRKAR2B,TRUE,TRUE,TRUE,TRUE,4
KCND2,TRUE,TRUE,TRUE,TRUE,4
ARF5,TRUE,TRUE,TRUE,TRUE,4
ATP6V1F,TRUE,TRUE,TRUE,TRUE,4
MEST,TRUE,TRUE,TRUE,TRUE,4
EXOC4,TRUE,TRUE,TRUE,TRUE,4
SLC35B4,TRUE,TRUE,TRUE,TRUE,4
DENND2A,TRUE,TRUE,TRUE,TRUE,4
ATP6V0E2,TRUE,TRUE,TRUE,TRUE,4
SMARCD3,TRUE,TRUE,TRUE,TRUE,4
KMT2C,TRUE,TRUE,TRUE,TRUE,4
LMBR1,TRUE,TRUE,TRUE,TRUE,4
TMSB4X,TRUE,TRUE,TRUE,TRUE,4
GPM6B,TRUE,TRUE,TRUE,TRUE,4
REPS2,TRUE,TRUE,TRUE,TRUE,4
CDKL5,TRUE,TRUE,TRUE,TRUE,4
SAT1,TRUE,TRUE,TRUE,TRUE,4
EIF2S3,TRUE,TRUE,TRUE,TRUE,4
CASK,TRUE,TRUE,TRUE,TRUE,4
NDUFB11,TRUE,TRUE,TRUE,TRUE,4
UBA1,TRUE,TRUE,TRUE,TRUE,4
USP11,TRUE,TRUE,TRUE,TRUE,4
EBP,TRUE,TRUE,TRUE,TRUE,4
TIMM17B,TRUE,TRUE,TRUE,TRUE,4
SYP,TRUE,TRUE,TRUE,TRUE,4
NLGN3,TRUE,TRUE,TRUE,TRUE,4
RPS4X,TRUE,TRUE,TRUE,TRUE,4
HDAC8,TRUE,TRUE,TRUE,TRUE,4
NAP1L2,TRUE,TRUE,TRUE,TRUE,4
GPRASP1,TRUE,TRUE,TRUE,TRUE,4
BEX2,TRUE,TRUE,TRUE,TRUE,4
BEX3,TRUE,TRUE,TRUE,TRUE,4
COL4A5,TRUE,TRUE,FALSE,FALSE,2
UTP14A,TRUE,TRUE,TRUE,TRUE,4
RBMX2,TRUE,TRUE,TRUE,TRUE,4
GPC4,TRUE,TRUE,FALSE,TRUE,3
SMIM10,TRUE,TRUE,TRUE,TRUE,4
FLNA,TRUE,TRUE,TRUE,TRUE,4
ATP6AP1,TRUE,TRUE,TRUE,TRUE,4
GDI1,TRUE,TRUE,TRUE,TRUE,4
MCPH1,TRUE,TRUE,TRUE,TRUE,4
CNOT7,TRUE,TRUE,TRUE,TRUE,4
FZD3,TRUE,TRUE,TRUE,TRUE,4
KIF13B,TRUE,TRUE,TRUE,TRUE,4
VDAC3,TRUE,TRUE,TRUE,TRUE,4
ATP6V1H,TRUE,TRUE,TRUE,TRUE,4
RPS20,TRUE,TRUE,TRUE,TRUE,4
CHCHD7,TRUE,TRUE,TRUE,TRUE,4
ARMC1,TRUE,TRUE,TRUE,TRUE,4
STAU2,TRUE,TRUE,TRUE,TRUE,4
GDAP1,TRUE,TRUE,TRUE,TRUE,4
ZNF704,TRUE,TRUE,TRUE,TRUE,4
FABP5,TRUE,TRUE,TRUE,TRUE,4
RALYL,TRUE,TRUE,TRUE,TRUE,4
NBN,TRUE,TRUE,TRUE,FALSE,3
C8orf88,TRUE,TRUE,TRUE,TRUE,4
TRIQK,TRUE,TRUE,TRUE,TRUE,4
SDC2,TRUE,TRUE,TRUE,TRUE,4
COX6C,TRUE,TRUE,TRUE,TRUE,4
YWHAZ,TRUE,TRUE,TRUE,TRUE,4
BAALC-AS1,TRUE,TRUE,TRUE,TRUE,4
OXR1,TRUE,TRUE,TRUE,TRUE,4
SAMD12,TRUE,TRUE,TRUE,TRUE,4
TRMT12,TRUE,TRUE,TRUE,TRUE,4
NDUFB9,TRUE,TRUE,TRUE,TRUE,4
